ACE
"SS Corpro flight system","Whenever this mech moves or boosts, it can fly."
"Earthshaker shells","The Bombard can choose to fire an earth shaker shell when it fires its bombard cannon. In addition to its normal damage, all characters in a burst 3 area around the targeted space or character must pass a hull save or be knocked prone. Debris or broken earth in the area then creates two size 1 pieces of hard cover in free spaces of the Bombard’s choice within the area."
"Siege Armor","The Bombard has resistance to all damage that it takes from attacks that originate further away than range 5 from its space."
"High-Impact shells","Characters hit by the Bombard Cannon are knocked back 3 spaces directly away from the Bombard."
"Bunker Buster","The Bombard cannon deals 10/15/20 AP damage to all objects and terrain on hit."
"Flare Drone","The Bombard targets a space in line of sight and within range 25 and fires a disposable size 1/2 drone(10 HP/tier, 10 evasion/e-defense) to that space where it hovers in place. The drone emits a burst 2 area around itself. Characters of the Bombard’s choice in the area lose invisibility while in the area, cannot hide in the area and immediately lose hiding if they move into or start their turn in the area, and the Bombard attacks characters in the area with +1 Accuracy. The Drone takes damage normally, including from the Bombard’s attacks. The Bombard can only have one drone deployed at a time, and if it deploys a new drone, the old one disintegrates."
"Cluster-seeker Bombs","After the bombard fires its bombard cannon, 3 characters of its choice within range 5 of the primary target take 2/3/4 explosive damage, hit or miss."
CATAPHRACT
"Ram cannon","This lance-like weapon can be fired with either profile (used as a melee or ranged weapon), but not both in the same turn."
"Trample","The Cataphract ignores engagement, and can pass through, but not end its turn in, the spaces of all other characters during its movement. Characters passed through take 2/3/4 kinetic damage."
"Impale","The Cataphract moves up to 8 spaces in a straight line. One target of its choice that it becomes adjacent to or passes through must pass a hull save with 1 difficulty or become grappled by the Cataphract. It is then pulled with the Cataphract to the end of its movement, maintaining adjacency, and can pass through other characters while being pulled."
"Point-Defense Shield","The Cataphract has resistance to all damage from the closest hostile character to it (if multiple characters qualify, this system does not function)."
"Electrified Lasso","A character in range 5 and line of sight of the cataphract must pass a hull save or become pulled adjacent to the cataphract or as far as possible, then grappled by the Cataphract if they are adjacent."
"Lance Shot","The Cataphract can fire an electrified lance shell from its ram cannon. All characters in a line 5 area from the cataphract must pass an engineering save or become jammed until the end of their next turn."
"Electrified Bola","The cataphract can target a flying character in range 10 from its location. That character must pass an agility save or immediately be forced to land (it falls, but does not take damage), and become immobilized until the end of its next turn."
"Charge","The Cataphract moves its speed in a straight line, ignoring reactions and engagement, then makes a Ram Cannon attack against a target in range."
"Capacitor Discharge","The Cataphract is resistant to heat as long as it is not slowed or immobilized. At the end of the Cataphract’s turn, all characters it is adjacent to take 2/3/4 heat."
DEMOLISHER
"Demolisher Hammer","On hit, a target must pass a hull save or be stunned until the end of its next turn."
"Entrench","The Demolisher can immediately gain resistance to all the damage of any one attack that just hit it, but becomes slowed until the end of its next turn."
"Shock Armor","The Demolisher has resistance to damage from melee weapons."
"Heavy Frame","The Demolisher cannot be knocked prone, back, pushed, or pulled by any actor smaller than itself."
"Broad-sweep Haft","The Demolisher’s hammer can be used to make a sweep attack instead of a regular attack, attacking all characters of the Demolisher’s choice in a burst 2 area for +1 vs evasion/tier, 4/6/8 explosive damage. Targets struck by this attack are impaired until the end of their next turn."
"Kinetic Compensation","If the Demolisher misses with its hammer attack, it gains +1 Accuracy on subsequent attacks until it hits. This effect stacks."
"Concussion Missiles","A character in range 5 and line of sight must pass a hull save or become slowed and impaired until the end of their next turn."
"Seismic Destroyer","The Demolisher targets a cone 3 or line 5 area from the Demolisher. This attack cannot hit flying targets. Targets in the area must pass an agility save or be stunned until the end of their next turn."
"Sap","A target adjacent to the Demolisher must pass an engineering save or become stunned until the end of their next turn."
ENGINEER
"Flak Cannon","This weapon gains +2 Accuracy against flying targets"
"Deployable turret","The engineer deploys a self-building turret in an adjacent, open space. The turret is an immobile size 1/2 drone with simple AI that attacks the nearest hostile target. It has evasion and e-defense 10 and 5/8/10 HP. It attacks on the Engineer’s turn for +1/tier vs evasion, range 10, 4/5/6 kinetic damage, but can take no other actions. All turrets are disabled if the Engineer is destroyed. It can deploy a maximum of 6 turrets at once."
"Engineer's Mark","The Engineer chooses a character it can see. Until the end of the engineer’s next turn, turrets will prioritize this character if they are in range, and all turret attacks gain the AP tag."
"Power Deployer","The Engineer can deploy two turrets when it uses its deployable turret system, but it becomes recharge (4+)"
"Skyshield Protocol","The Engineer’s turrets gain +2 Accuracy against flying targets"
"Shepherd Field","All objects, drones, pieces of cover, or terrain gain resistance to all damage while adjacent to the Engineer."
"Mobile Turrets","At the start of its turn, the Engineer can move all its turrets up to 3 spaces in any direction."
"Arsenal","The Engineer can deploy stronger turrets, and can choose which to deploy when it uses its system. Each have the same statistics as a base turret, with the following changes: Inferno: The turret’s weapon becomes +1/tier vs evasion, cone 5, Burn 3/4/5 Hellstorm: The turret’s weapon becomes +1/tier vs evasion, range 15, blast 1, 2/3/4 explosive damage Hunter: The turrets gain reliable 1 Primed: When the turret or the engineer is destroyed, it explodes in a burst 1 area around it. Targets caught inside must pass an agility save or take 7/9/11 explosive damage"
GOLIATH
"Drum Shotgun","This weapon can attack twice at tier II and three times at tier III"
"Crush Targeting","A character in line of sight and sensor range gains +3 difficulty to attack any character other than the Goliath until the start of the Goliath’s next turn."
"Heavy Frame","The Goliath cannot be knocked prone, pushed, or pulled by any actor smaller than itself"
"Guardian","Adjacent allies can use the Goliath for hard cover."
"Siege Armor","The Goliath has resistance to all damage it takes that originates from over range 5 of its space."
"Power knuckle","A character in range 2 of the Goliath must pass a hull save or take 4/5/6 kinetic damage, be knocked back 5 spaces directly away from the Goliath and knocked prone."
"Pin","A character within range 2 of the Goliath becomes immobilized and impaired until it successfully damages the Goliath, the Goliath is stunned or destroyed, or the Goliath uses this trait again. While the Goliath is pinning a target, it is immobilized."
"Crushing Embrace","A character adjacent to the Goliath must pass an agility save or become grappled by the Goliath, and Jammed while they are grappled. The Goliath can only grapple one character this way at a time."
"Watchful Guardian","Allies that benefit from cover from the Goliath’s Guardian trait have resistance to all damage. They don’t gain this resistance if they don’t benefit from the cover."
"Retribution","When the Goliath takes damage, its next attack deals +2/3/4 bonus damage on hit. This effect stacks up to +8, but is lost when the Goliath attacks or at the end of the Goliath’s turn."
HIVE
"Hunter Killer Drone Nexus","This weapon can attack twice at tier II and three times at tier III"
"Drone Barrage","The Hive directs its drones to run interference on a target of its choice. On hit, the targeted character either becomes Immobilized and Impaired until the end of its next turn, or immediately moves 4 spaces in a direction of the Hive’s choice (the targeted character can choose). This movement ignores engagement and does not provoke reactions."
"Razor Swarm","The Hive creates a blast 1 area in a free area within sensor range. The area remains until the end of the current scene or the Hive is destroyed. Targets allied to the Hive with any part of them in the area gain soft cover. Otherwise, any other character that starts its turn at least partly in the area or moves into it for the first time on its turn takes 2 Burn/tier. The Hive can deploy any number of Razor Swarms."
"Electro-Nanite Cloud","All hostile characters that start their turn within range 3 of the Hive take 2 Burn. In addition, any system checks or saves they make or tech attacks they make in that area suffer from +1 Difficulty/tier."
"Motile Swarm","At the start of its turn, the Hive can move all razor swarms up to 2 spaces in any direction. They can end their turn overlapping other characters."
"Driving Swarm","Any character that takes the initial burn from the Hive’s Razor Swarm must pass a systems save or move 4 spaces in a direction of the Hive’s choice. This movement ignores engagement and does not provoke reactions."
"Grinder Drones","The Hive releases a swarm of tiny, hard to hit drones that attach to a hostile character in sensor range. On hit, the target takes Burn 2/3/4 each time it takes any action or reaction until the end of its next turn. It is aware of this effect."
"Seeker Cloud","Targets damaged by this weapon gain the Lock On condition."
HORNET
"Stinger Pistol","Targets hit by this pistol are impaired until the end of their next turn."
"SSC Total Suite","The Hornet can fly when it moves or boosts with hover flight (it can hover in place, doesn’t have to move in a straight line, doesn’t have to move while flying, and doesn’t have to land)."
"Weave","The first reaction taken against the hornet in a round automatically misses if it is an attack."
"Impale Systems","On hit, the target takes 3/4/5 heat and becomes jammed until the end of their next turn."
"Evade Suite","The Hornet ignores engagement and is immune to grapples."
"Interdictor Suite","The Hornet can use a reaction to attempt to electronically jam a target in its sensor range that is attempting to make an attack roll. The target must pass a systems save or lose its attack (it can still make other attacks as normal)."
"Supersonic","The Hornet moves to a space it can see within range 50 incredibly quickly, counting as teleporting. It must be flying to make this action."
"Drag Javelin","The Hornet fires a javelin at a character it can see within range 5. The target must pass a hull save or become impaled by the javelin. Upon impact, the javelin fires a secondary grapple at the environment, tethering the target to the ground. While impaled this way, the target is immobilized and shredded. It can end this condition by successfully repeating the check as a full action on their turn to pull the javelin out. Otherwise, it remains impaled until the scene ends."
MIRAGE
"Warp Sensors","On hit, the Mirage’s target takes 2/3/4 heat and treats all other characters as being in soft cover until the end of its next turn."
"Reality Flicker","The Mirage teleports when it makes its regular move."
"Dataveil","The Mirage is permanently invisible. As a quick action, it can transfer this invisibility to any ally it can see, but loses invisibility while it does so. It can transfer it back or to a new target as a quick action, and this effect ends if the Mirage is destroyed."
"Glitch Scanners","Up to two allies of the Mirage’s choice can immediately teleport up to 5 spaces in any direction to their ‘real’ location. This movement does not provoke reactions and ignores engagement."
"Illusory Subroutines","On hit, all characters allied to the Mirage count as invisible to its target until the start of its next turn."
"Warp Targeting","All characters on in range 50 allied to the Mirage while the Mirage is not destroyed have soft cover. If the Mirage takes damage, this effect ends until the start of its next turn."
"Raise False Idols","The Mirage creates 3 size 1 data constructs in free spaces within range 5 and line of sight of its location. These are data constructs that grant soft cover, but can be moved through. Any hostile character that moves through their spaces must pass a systems save or take 2 heat and become Jammed until the end of their next turn, but destroy the construct. At any point during its turn while an idol is active, the Mirage can take a quick action and teleport a visible ally to the idol’s location as long as there is space to do so, destroying the idol."
"Metafold Carver","The Mirage chooses a hostile or allied character in range 5. On hit, the target and an ally the Mirage can see teleport, swapping places. A flying character cannot be swapped with a character that isn’t flying, and vice versa."
"Illusory Duplicate","Once per round, when an ally the Mirage can see is hit by an attack, it can force the attacker to pass a systems save. If they fail, the targeted ally becomes immune to all damage and effects from the attack and may teleport up to 5 spaces in any direction."
OPERATOR
"Raptor Plasma Rifle","This weapon can attack twice at tier II and three times at tier III."
"Trace Drive","The Operator teleports when it makes its regular move."
"Step","The Operator teleports to a free space it can see within range 50."
"Self-erasing","When this mech is destroyed, it immediately self-immolates into superheated plasma. All targets adjacent to it when it is destroyed must pass an agility save or take 4/6/8 energy damage or half on a successful check. This mech is then removed from the battlefield - it is utterly annihilated."
"Fade generator","While this system is intact, at the end of its turn, the Operative becomes invisible until the start of its next turn. This effect is immediately disabled if the Operative takes damage until the start of the Operator’s turn."
"Telefrag","The Operator can attempt to teleport inside a character’s space within range 15 that it can see. That target must pass an agility save or take 4 AP energy damage/tier and become Jammed until the end of its next turn, or half damage on a successful save. The Operator takes 1d6 AP energy damage (even if the target fails its save), then is placed in a free adjacent space."
"Fortress","Tech attacks are made against the Operator with +3 difficulty and it makes all system saves with +3 Accuracy"
"Skirmisher","Once at any point on its turn, the operator can make a boost action as a free action."
PRIEST
"Abjure","On hit, the target takes 2/3/4 heat each time it makes an attack roll until the end of its next turn."
"Dispersal Shield","The Priest releases a cloud of miniature drones that cluster around it or an ally in sensor range, providing heavy protection. The priest or the targeted ally has resistance to damage from the next 1d3 attacks that hit it. This effect cannot stack with itself."
"Hardened Target","Tech attacks are made at +1 difficulty against the Priest and it makes all system saves with +1 Accuracy."
"Investiture","The Priest links systems with an allied mech or vehicle within range 5. It can only link with one character at a time. While linked and within range 5 of the priest, the allied mech gains +1 Accuracy/tier on all attacks, and the allied character can use the Priest’s systems score for all skill checks and saves it makes. However, if either linked character becomes jammed, impaired, shut down, or stunned, the other also suffers the same condition for the same duration as long as the link persists. The link is disabled if either character is destroyed or this system is disabled or destroyed, or if the priest moves or is moved more than 5 spaces away from its target."
"Greater Investiture","The Priest’s Investiture also grants its target resistance to all damage, but the Priest is immobilized while it’s active."
"Empowered Shield","The priest’s Dispersal Shield grants resistance to 1d6 attacks instead of 1d3."
"Sanctuary","The Priest chooses an allied character in range 10. Any other character that wishes to attack the chosen ally must first pass a systems save. On a failed save, the protected ally is no longer a valid target for that character until the start of that character’s next turn."
"Fortress","Tech attacks are made against the Priest with +3 difficulty and it makes all system saves with +3 Accuracy. This replaces Hardened Target."
"Minor Basilisk","When the target of the Priest’s investiture takes damage, as a reaction the priest can force the character that caused the damage to pass a systems save or become stunned until the end of its next turn."
PYRO
"Flamethrower","This weapon deals double Burn to any target currently suffering from Burn."
"Explosive Vent","The pyro cools to 0 heat. Characters caught in a burst 1 area around it must pass an agility save or take half of the heat the pyro cools as heat to themselves and be knocked prone."
"Insulated","The pyro is immune to Burn"
"FIREBREAK shield","At the end of its turn, the Pyro creates a line 4 energy field in free spaces it can see, 4 spaces high, oriented so it has at least 1 space adjacent to the pyro. The shield is so hot that it melts munitions, warps targeting, and reflects energy blasts fired at the pyro. If any ranged or melee attack without the seeking tag would be made in such a way that it crosses the line (even if it doesn’t target the pyro), roll a d6. On a 4+, the pyro reduces all damage from the attack to 0 and cancels all other effects the attack would have. The field disappears at the start of the pyro’s turn, or if the pyro is stunned, shut down, or moved for any reason."
"Unshielded Reactor","Targets that start their turn adjacent to the pyro or become adjacent to the pyro for the first time on their turns take 2/3/4 heat."
"Siege Armor","The Pyro has resistance to all damage it takes that originates from over range 5 from its space."
"Molten Shield","Once per round, the Pyro can activate this dispersal shield when it takes damage from any melee attack. The Pyro gains resistance to all the damage from the attack, and the attacker must pass an engineering save or take Burn 2/tier."
"Explosive Jet","Enemies in a burst 2 area around the Pyro must pass a hull save or be knocked back outside of that area and knocked prone. The Pyro then flies 5 in any direction, but it must land after completing that move."
RAINMAKER
"Missile Pods","This weapon attacks one, two, or three targets in range."
"Javelin Rockets","The Rainmaker chooses 3 free spaces in range 20 and line of sight. These spaces are visible to all characters. The next time any character passes through this space or any of the spaces over it vertically up to 10 spaces high, or starts its turn in one of those spaces, it takes 4/5/6 kinetic damage as a rocket hits them, then this effect ends in that area. It also ends on all targeted spaces at the start of the Rainmaker’s next turn."
"Huntsman","While firing at a target suffering from the Lock On condition, the rainmaker’s weapons gain the Smart and Seeking tags."
"HADES missile","The rainmaker targets a cone 3 area drawn in any direction from a point within range 20 of its location. This system tracks line of sight as if it were an arcing weapon. All characters in that area must pass an agility check or take 4/6/8 energy damage and 2 heat, and half on a successful check."
"HOUND missile","Choose a target within range 20 and line of sight. The Rainmaker fires a hound missile at the target, which is a drone with size 1/2, evasion/e-defense 10, and 10/15/20 HP. The missile primes on the turn that it is fired, deploying in an adjacent space, then flies 5 at the start of each of the rainmaker’s subsequent turns. If its target suffers from the Lock On condition, its movement increases to 10. It must move as far as possible directly towards its target, but maneuvers around cover and obstacles as long as there is space to do so. If the missile’s movement causes it to collide with any character, it detonates for a blast 1 explosion. Characters caught inside must pass an agility save or take 16/20/24 energy damage and half on a successful check."
"Endless Rain","The Rainmaker targets 6 spaces with its Javelin Rockets instead of 3."
"Volley","All characters of the Rainmaker’s choice within range 20 and line of sight of the rainmaker must pass an agility save or take 4/6/8 explosive damage, or half on a successful check."
"Atlas missile","The rainmaker targets a space on the ground within range 30 and line of sight. The targeted space is visible to all in line of sight. At the end of the next round (after all characters have acted) the missile lands, targeting a burst 2 area centered on that space. All characters caught within must pass an agility save or take 16/20/24 explosive damage, and half on a successful check."
RONIN
"Carbon Fiber Sword","This weapon can attack twice at tier II and three times at tier III. This weapon can critical hit, and deals an extra +1d6 kinetic damage on critical hit."
"Perfect Parry","When damaged by a ranged weapon attack, the Ronin can roll a d6 as a reaction. On a roll of a 4+, the Ronin gains resistance to all the damage from that attack, and the target must repeat the attack roll against itself, dealing damage on a success."
"Charged Slash","All characters adjacent to the Ronin must make a successful agility save or take 6/9/12 kinetic damage, or half on a successful check."
"Integrated Chaff Launchers","When the Ronin boosts, it gains soft cover until the start of its next turn."
"Echo Edge","When the Ronin damages a target, it marks that target (keep track of it). At the start of its turn, the Ronin can consume all these marks as a free action to deal 1d6 AP kinetic damage to all targets, no attack roll required (roll once for all characters). They last until consumed, until the Ronin is destroyed, or until the end of the current scene."
"Hyper-reflex mode","This system remains active until the end of the Ronin’s next turn. While active, the first time each turn (the Ronin’s turn or any other actor’s turn) the Ronin is targeted by an attack, it can immediately make a single Carbon Fiber Sword attack against a target in range before the attack is made, interrupting it."
"Extended Blade","The Ronin’s Carbon Fiber Sword becomes threat 3. The first time it critically hits with a melee attack on a turn, all targets within its threat range take 2/3/4 kinetic damage including the target of its attack."
SCOUT
"Marker Rifle","Targets hit by this attack immediately gain Lock On. They are Shredded, and cannot hide or benefit from invisibility while they suffer from Lock On (ending Lock On will end all these conditions)."
"Sight","Characters cannot hide or benefit from Invisibility against the Scout. It knows the precise location of all characters in sensor range."
